S.No,Emp ID,Employee Name,Designation,Department,Business Unit,Employee Status,Training Name,Training Status,Training Type,Training Source,Quarter,Training Start Month,Start Date,End Date,Venue,Overall Training Duration (Planned Hrs)
21,21,21,Senior Manager L&D,IN - HR,Shared Service,Active,Persuasive Selling Workshop,Completed,Transferrable,Internal,Q1,2025-04-01,2025-04-09,2025-04-09,Training Room – First Floor ,1.5
22,22,22,Senior Software Engineer,IN - Software Development,Technology,Active,Power BI Workshop,Completed,Technical,Internal,Q1,2025-04-01,2025-04-10,2025-04-15,Virtual,8.0
23,23,23,Senior Functional Consultant,IN - Software Development,Technology,Active,Power BI Workshop,Completed,Technical,Internal,Q1,2025-04-01,2025-04-10,2025-04-15,Virtual,8.0
24,24,24,Senior Software Engineer,IN - Software Development,Technology,Active,Power BI Workshop,Completed,Technical,Internal,Q1,2025-04-01,2025-04-10,2025-04-15,Virtual,8.0
25,25,25,Technical Lead,IN - Software Development,Technology,Active,Power BI Workshop,Completed,Technical,Internal,Q1,2025-04-01,2025-04-10,2025-04-15,Virtual,8.0
26,26,26,Software Engineer,IN - Software Development,Technology,Active,Power BI Workshop,Completed,Technical,Internal,Q1,2025-04-01,2025-04-10,2025-04-15,Virtual,8.0
27,27,27,Software Engineer,IN - Software Development,Technology,Active,Power BI Workshop,Completed,Technical,Internal,Q1,2025-04-01,2025-04-10,2025-04-15,Virtual,8.0
28,28,28,Software Engineer,IN - Software Development,Technology,Active,Power BI Workshop,Completed,Technical,Internal,Q1,2025-04-01,2025-04-10,2025-04-15,Virtual,8.0
29,29,29,Software Engineer,IN - Software Development,Technology,Active,Power BI Workshop,Completed,Technical,Internal,Q1,2025-04-01,2025-04-10,2025-04-15,Virtual,8.0
30,30,30,Software Engineer,IN - Software Development,Technology,Active,Power BI Workshop,Completed,Technical,Internal,Q1,2025-04-01,2025-04-10,2025-04-15,Virtual,8.0
31,31,31,Senior Data Engineer,IN - Software Development,Technology,Active,Power BI Workshop,Completed,Technical,Internal,Q1,2025-04-01,2025-04-10,2025-04-15,Virtual,8.0
32,32,32,Associate Functional Consultant,IN - Software Development,Technology,Active,Power BI Workshop,Completed,Technical,Internal,Q1,2025-04-01,2025-04-10,2025-04-15,Virtual,8.0
33,33,33,Software Engineer,IN - Software Development,Technology,Active,Power BI Workshop,Completed,Technical,Internal,Q1,2025-04-01,2025-04-10,2025-04-15,Virtual,8.0
34,34,34,Technical Lead,IN - Software Development,Technology,Active,React JS Workshop,Completed,Technical,Internal,Q1,2025-04-01,2025-04-14,2025-05-15,Virtual,32.0
35,35,35,Software Engineer,IN - Software Development,Technology,Active,React JS Workshop,Completed,Technical,Internal,Q1,2025-04-01,2025-04-14,2025-05-15,Virtual,32.0
36,36,36,Trainee Software Engineer,IN - Software Development,Technology,Active,React JS Workshop,Completed,Technical,Internal,Q1,2025-04-01,2025-04-14,2025-05-15,Virtual,32.0
37,37,37,System Analyst,IN - Software Development,Technology,Active,React JS Workshop,Completed,Technical,Internal,Q1,2025-04-01,2025-04-14,2025-05-15,Virtual,32.0
38,38,38,Senior Software Engineer,IN - Software Development,Technology,Active,React JS Workshop,Completed,Technical,Internal,Q1,2025-04-01,2025-04-14,2025-05-15,Virtual,32.0
39,39,39,Lead - Design,IN - Software Development,Technology,Active,React JS Workshop,Completed,Technical,Internal,Q1,2025-04-01,2025-04-14,2025-05-15,Virtual,32.0
40,40,40,Trainee Software Engineer,IN - Software Development,Technology,Active,React JS Workshop,Completed,Technical,Internal,Q1,2025-04-01,2025-04-14,2025-05-15,Virtual,32.0
41,41,41,Senior Content Writer,IN- Marketing,Sales & Marketing,Active,Project Management Workshop,Completed,Functional,Internal,Q1,2025-04-01,2025-04-23,2025-04-23,Virtual,1.0
42,42,42,Senior Executive - Marketing,IN- Marketing,Sales & Marketing,Active,Project Management Workshop,Completed,Functional,Internal,Q1,2025-04-01,2025-04-23,2025-04-23,Virtual,1.0
43,43,43,UX UI Manager,IN- Marketing,Sales & Marketing,Active,Project Management Workshop,Completed,Functional,Internal,Q1,2025-04-01,2025-04-23,2025-04-23,Virtual,1.0
44,44,44,Director – Staff Augmentation ,IN - Sales,Sales & Marketing,Active,Project Management Workshop,Completed,Functional,Internal,Q1,2025-04-01,2025-04-23,2025-04-23,Virtual,1.0
45,45,45,Assistant Manager - Staffing,IN - Staffing,Staffing,Active,Project Management Workshop,Completed,Functional,Internal,Q1,2025-04-01,2025-04-23,2025-04-23,Virtual,1.0
46,46,46,Senior Manager - IT,IN - IT,Shared Service,Active,Project Management Workshop,Completed,Functional,Internal,Q1,2025-04-01,2025-04-23,2025-04-23,Virtual,1.0
47,47,47,Senior Manager - Administration,IN- Admin,Shared Service,Active,Project Management Workshop,Completed,Functional,Internal,Q1,2025-04-01,2025-04-23,2025-04-23,Virtual,1.0
48,48,48,Manager - HR Operations,IN - HR,Shared Service,Active,Project Management Workshop,Completed,Functional,Internal,Q1,2025-04-01,2025-04-23,2025-04-23,Virtual,1.0
49,49,49,Lead - L&D,IN - HR,Shared Service,Active,Project Management Workshop,Completed,Functional,Internal,Q1,2025-04-01,2025-04-23,2025-04-23,Virtual,1.0
50,50,50,Manager - Lead Generation,IN - Lead Generation,Sales & Marketing,Active,Project Management Workshop,Completed,Functional,Internal,Q1,2025-04-01,2025-04-23,2025-04-23,Virtual,1.0
51,51,51,Program Manager,IN - PMO,Shared Service,Active,Project Management Workshop,Completed,Functional,Internal,Q1,2025-04-01,2025-04-23,2025-04-23,Virtual,1.0
52,52,52,Lead - PMO,IN - PMO,Shared Service,Active,Project Management Workshop,Completed,Functional,Internal,Q1,2025-04-01,2025-04-23,2025-04-23,Virtual,1.0
53,53,53,Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-21,2025-04-23,Conference Room - KPO,3.0
54,54,54,Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-21,2025-04-23,Conference Room - KPO,3.0
55,55,55,Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-21,2025-04-23,Conference Room - KPO,3.0
56,56,56,Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-21,2025-04-23,Conference Room - KPO,3.0
57,57,57,Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-21,2025-04-23,Conference Room - KPO,3.0
58,58,58,Quality Assurance Specialist,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-21,2025-04-23,Conference Room - KPO,3.0
59,59,59,Quality Assurance Specialist,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-21,2025-04-23,Conference Room - KPO,3.0
60,60,60,Quality Assurance Specialist,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-21,2025-04-23,Conference Room - KPO,3.0
61,61,61,Quality Assurance Specialist,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-21,2025-04-23,Conference Room - KPO,3.0
62,62,62,Senior Quality Assurance Specialist,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-21,2025-04-23,Conference Room - KPO,3.0
63,63,63,Quality Assurance Specialist,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-21,2025-04-23,Conference Room - KPO,3.0
64,64,64,Quality Assurance Specialist,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-21,2025-04-23,Conference Room - KPO,3.0
65,65,65,Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-21,2025-04-23,Conference Room - KPO,3.0
66,66,66,Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-21,2025-04-23,Conference Room - KPO,3.0
67,67,67,Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-21,2025-04-23,Conference Room - KPO,3.0
68,68,68,Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-21,2025-04-23,Conference Room - KPO,3.0
69,69,69,Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-21,2025-04-23,Conference Room - KPO,3.0
70,70,70,Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-21,2025-04-23,Conference Room - KPO,3.0
71,71,71,Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-21,2025-04-23,Conference Room - KPO,3.0
72,72,72,Quality Assurance Specialist,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-21,2025-04-23,Conference Room - KPO,3.0
73,73,73,Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-24,2025-04-28,Conference Room - KPO,3.0
74,74,74,Senior Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-24,2025-04-28,Conference Room - KPO,3.0
75,75,75,Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-24,2025-04-28,Conference Room - KPO,3.0
76,76,76,Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-24,2025-04-28,Conference Room - KPO,3.0
77,77,77,Senior Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-24,2025-04-28,Conference Room - KPO,3.0
78,78,78,Data Process Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-24,2025-04-28,Conference Room - KPO,3.0
79,79,79,Senior Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-24,2025-04-28,Conference Room - KPO,3.0
80,80,80,Senior Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-24,2025-04-28,Conference Room - KPO,3.0
81,81,81,Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-24,2025-04-28,Conference Room - KPO,3.0
82,82,82,Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-24,2025-04-28,Conference Room - KPO,3.0
83,83,83,Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-24,2025-04-28,Conference Room - KPO,3.0
84,84,84,Senior Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-24,2025-04-28,Conference Room - KPO,3.0
85,85,85,Data Process Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-24,2025-04-28,Conference Room - KPO,3.0
86,86,86,Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-24,2025-04-28,Conference Room - KPO,3.0
87,87,87,Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-24,2025-04-28,Conference Room - KPO,3.0
88,88,88,Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-24,2025-04-28,Conference Room - KPO,3.0
89,89,89,Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-24,2025-04-28,Conference Room - KPO,3.0
90,90,90,Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-24,2025-04-28,Conference Room - KPO,3.0
91,91,91,Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-24,2025-04-28,Conference Room - KPO,3.0
92,92,92,Technical Manager - Salesforce,IN - Salesforce,Technology,Active,Salesforce Knowledge Share – Bhavesh’s Learnings,Completed,Functional,Internal,Q1,2025-04-01,2025-04-25,2025-04-25,Virtual,0.5
93,93,93,Technical Lead - Salesforce,IN - Salesforce,Technology,Active,Salesforce Knowledge Share – Bhavesh’s Learnings,Completed,Functional,Internal,Q1,2025-04-01,2025-04-25,2025-04-25,Virtual,0.5
94,94,94,Salesforce Technical Specialist,IN - Salesforce,Technology,Active,Salesforce Knowledge Share – Bhavesh’s Learnings,Completed,Functional,Internal,Q1,2025-04-01,2025-04-25,2025-04-25,Virtual,0.5
95,95,95,Technical Lead - Salesforce,IN - Salesforce,Technology,Active,Salesforce Knowledge Share – Bhavesh’s Learnings,Completed,Functional,Internal,Q1,2025-04-01,2025-04-25,2025-04-25,Virtual,0.5
96,96,96,Salesforce Developer,IN - Salesforce,Technology,Active,Salesforce Knowledge Share – Bhavesh’s Learnings,Completed,Functional,Internal,Q1,2025-04-01,2025-04-25,2025-04-25,Virtual,0.5
97,97,97,Senior Salesforce Developer,IN - Salesforce,Technology,Active,Salesforce Knowledge Share – Bhavesh’s Learnings,Completed,Functional,Internal,Q1,2025-04-01,2025-04-25,2025-04-25,Virtual,0.5
98,98,98,Quality Lead - Salesforce,IN - Salesforce,Technology,Active,Salesforce Knowledge Share – Bhavesh’s Learnings,Completed,Functional,Internal,Q1,2025-04-01,2025-04-25,2025-04-25,Virtual,0.5
99,99,99,Senior Salesforce Technical Specialist,IN - Salesforce,Technology,Active,Salesforce Knowledge Share – Bhavesh’s Learnings,Completed,Functional,Internal,Q1,2025-04-01,2025-04-25,2025-04-25,Virtual,0.5
100,100,100,Salesforce Developer,IN - Salesforce,Technology,Active,Salesforce Knowledge Share – Bhavesh’s Learnings,Completed,Functional,Internal,Q1,2025-04-01,2025-04-25,2025-04-25,Virtual,0.5
101,101,101,Quality Lead - Salesforce,IN - Salesforce,Technology,Active,Salesforce Knowledge Share – Bhavesh’s Learnings,Completed,Functional,Internal,Q1,2025-04-01,2025-04-25,2025-04-25,Virtual,0.5
102,102,102,Salesforce Quality Analyst,IN - Salesforce,Technology,Active,Salesforce Knowledge Share – Bhavesh’s Learnings,Completed,Functional,Internal,Q1,2025-04-01,2025-04-25,2025-04-25,Virtual,0.5
103,103,103,Senior Salesforce Developer,IN - Salesforce,Technology,Active,Salesforce Knowledge Share – Bhavesh’s Learnings,Completed,Functional,Internal,Q1,2025-04-01,2025-04-25,2025-04-25,Virtual,0.5
104,104,104,Salesforce Developer,IN - Salesforce,Technology,Active,Salesforce Knowledge Share – Bhavesh’s Learnings,Completed,Functional,Internal,Q1,2025-04-01,2025-04-25,2025-04-25,Virtual,0.5
105,105,105,Senior Salesforce Developer,IN - Salesforce,Technology,Active,Salesforce Knowledge Share – Bhavesh’s Learnings,Completed,Functional,Internal,Q1,2025-04-01,2025-04-25,2025-04-25,Virtual,0.5
106,106,106,Salesforce Developer,IN - Salesforce,Technology,Active,Salesforce Knowledge Share – Bhavesh’s Learnings,Completed,Functional,Internal,Q1,2025-04-01,2025-04-25,2025-04-25,Virtual,0.5
107,107,107,Salesforce Developer,IN - Salesforce,Technology,Active,Salesforce Knowledge Share – Bhavesh’s Learnings,Completed,Functional,Internal,Q1,2025-04-01,2025-04-25,2025-04-25,Virtual,0.5
108,108,108,Senior Salesforce Developer,IN - Salesforce,Technology,Active,Salesforce Knowledge Share – Bhavesh’s Learnings,Completed,Functional,Internal,Q1,2025-04-01,2025-04-25,2025-04-25,Virtual,0.5
109,109,109,Senior Salesforce Technical Specialist,IN - Salesforce,Technology,Active,Salesforce Knowledge Share – Bhavesh’s Learnings,Completed,Functional,Internal,Q1,2025-04-01,2025-04-25,2025-04-25,Virtual,0.5
110,110,110,Senior Salesforce Quality Analyst,IN - Salesforce,Technology,Active,Salesforce Knowledge Share – Bhavesh’s Learnings,Completed,Functional,Internal,Q1,2025-04-01,2025-04-25,2025-04-25,Virtual,0.5
111,111,111,Senior Salesforce Developer,IN - Salesforce,Technology,Active,Salesforce Knowledge Share – Bhavesh’s Learnings,Completed,Functional,Internal,Q1,2025-04-01,2025-04-25,2025-04-25,Virtual,0.5
112,112,112,Senior Salesforce Developer,IN - Salesforce,Technology,Active,Salesforce Knowledge Share – Bhavesh’s Learnings,Completed,Functional,Internal,Q1,2025-04-01,2025-04-25,2025-04-25,Virtual,0.5
113,113,113,Technical Lead - Salesforce,IN - Salesforce,Technology,Active,Salesforce Knowledge Share – Bhavesh’s Learnings,Completed,Functional,Internal,Q1,2025-04-01,2025-04-25,2025-04-25,Virtual,0.5
114,114,114,Senior Salesforce Developer,IN - Salesforce,Technology,Active,Salesforce Knowledge Share – Bhavesh’s Learnings,Completed,Functional,Internal,Q1,2025-04-01,2025-04-25,2025-04-25,Virtual,0.5
115,115,115,Senior Salesforce Quality Analyst,IN - Salesforce,Technology,Active,Salesforce Knowledge Share – Bhavesh’s Learnings,Completed,Functional,Internal,Q1,2025-04-01,2025-04-25,2025-04-25,Virtual,0.5
116,116,116,Program Manager,IN - Salesforce,Technology,Active,Salesforce Knowledge Share – Bhavesh’s Learnings,Completed,Functional,Internal,Q1,2025-04-01,2025-04-25,2025-04-25,Virtual,0.5
117,117,117,Senior Solution Architect -Salesforce,IN - Salesforce,Technology,Active,Salesforce Knowledge Share – Bhavesh’s Learnings,Completed,Functional,Internal,Q1,2025-04-01,2025-04-25,2025-04-25,Virtual,0.5
118,118,118,Senior Salesforce Developer,IN - Salesforce,Technology,Active,Salesforce Knowledge Share – Bhavesh’s Learnings,Completed,Functional,Internal,Q1,2025-04-01,2025-04-25,2025-04-25,Virtual,0.5
119,119,119,Practice Manager - Salesforce,IN - Salesforce,Technology,Active,Salesforce Knowledge Share – Bhavesh’s Learnings,Completed,Functional,Internal,Q1,2025-04-01,2025-04-25,2025-04-25,Virtual,0.5
120,120,120,Senior Salesforce Developer,IN - Salesforce,Technology,Active,Salesforce Knowledge Share – Bhavesh’s Learnings,Completed,Functional,Internal,Q1,2025-04-01,2025-04-25,2025-04-25,Virtual,0.5
121,121,121,Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-29,2025-05-02,Conference Room - KPO,3.0
122,122,122,Senior Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-29,2025-05-02,Conference Room - KPO,3.0
123,123,123,Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-29,2025-05-02,Conference Room - KPO,3.0
124,124,124,Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-29,2025-05-02,Conference Room - KPO,3.0
125,125,125,Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-29,2025-05-02,Conference Room - KPO,3.0
126,126,126,Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-29,2025-05-02,Conference Room - KPO,3.0
127,127,127,Senior Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-29,2025-05-02,Conference Room - KPO,3.0
128,128,128,Senior Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-29,2025-05-02,Conference Room - KPO,3.0
129,129,129,Senior Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-29,2025-05-02,Conference Room - KPO,3.0
130,130,130,Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-29,2025-05-02,Conference Room - KPO,3.0
131,131,131,Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-29,2025-05-02,Conference Room - KPO,3.0
132,132,132,Senior Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-29,2025-05-02,Conference Room - KPO,3.0
133,133,133,Senior Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-29,2025-05-02,Conference Room - KPO,3.0
134,134,134,Senior Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-29,2025-05-02,Conference Room - KPO,3.0
135,135,135,Consultant,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-29,2025-05-02,Conference Room - KPO,3.0
136,136,136,Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-29,2025-05-02,Conference Room - KPO,3.0
137,137,137,Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-29,2025-05-02,Conference Room - KPO,3.0
138,138,138,Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-29,2025-05-02,Conference Room - KPO,3.0
139,139,139,Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-29,2025-05-02,Conference Room - KPO,3.0
140,140,140,Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-29,2025-05-02,Conference Room - KPO,3.0
141,141,141,Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-29,2025-05-02,Conference Room - KPO,3.0
142,142,142,Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-29,2025-05-02,Conference Room - KPO,3.0
143,143,143,Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-29,2025-05-02,Conference Room - KPO,3.0
144,144,144,Medical Records Analyst,IN - KPO,KPO,Active,Indexing of Medical Records Training,Completed,Functional,Internal,Q1,2025-04-01,2025-04-29,2025-05-02,Conference Room - KPO,3.0
